content,_id,like_counts,ip_location,created_at,total_number,user_name,gender,content_length
图片评论 http://t.cn/A6ncW10g,5094859627037156,390,北京,Tue Oct 29 17:04:15 +0800 2024,16,MS培养基_,f,25
我咋感觉都是扯淡,5094853815308695,129,北京,Tue Oct 29 16:41:10 +0800 2024,11,ShowMakerr_,m,8
别信广告，看疗效,5094860929107609,117,菲律宾,Tue Oct 29 17:09:26 +0800 2024,2,竹杖芒鞋轻胜马-Serendipity,m,8
幼儿园摇号没有中，一年光学费就4W[裂开]还不包含生活费服装费等。。。。而且，我主要也是不想生了孩子以后还得做作业[允悲]，写了十来年作业了，怕了[泪],5094852339435606,86,山东,Tue Oct 29 16:35:18 +0800 2024,3,七元姓名,m,76
我只看数据，有多少钱发过来[吃瓜],5094856546061749,64,浙江,Tue Oct 29 16:52:01 +0800 2024,0,郑在输入0818,m,17
画饼是吧？,5094861604651551,57,山东,Tue Oct 29 17:12:06 +0800 2024,0,菠萝吹雪a,m,5
想空手套白狼🐺🐺🐺🐺,5094860674044057,46,云南,Tue Oct 29 17:08:25 +0800 2024,0,姬里姬气aka,f,10
我们一个普通幼儿园一学期1万4，一个月工资就四五千[允悲],5094861673859954,37,安徽,Tue Oct 29 17:12:24 +0800 2024,7,妮妮的日记123,f,29
没有一个落地措施，全是大饼,5094866440422078,63,北京,Tue Oct 29 17:31:20 +0800 2024,0,丶呆瓜era,m,13
竟说一些大空话,5094869305920708,43,浙江,Tue Oct 29 17:42:43 +0800 2024,0,在路上的理想主义者,f,7
先把五天八小时，双休制度落实了吧,5094871284581379,37,广东,Tue Oct 29 17:50:35 +0800 2024,1,Hdjhak,m,16
估计实现不了,5094858509256289,24,山西,Tue Oct 29 16:59:49 +0800 2024,2,一生爱吾笑,m,6
反正我不敢生,5094858145141033,17,北京,Tue Oct 29 16:58:22 +0800 2024,0,卷不了一点_趟,f,6
鼓励、督促，支持，有啥用？写在劳动法里的每周工作时间和加班补偿都有大把的企业不执行，都是烟雾弹。,5094870027077790,24,北京,Tue Oct 29 17:45:35 +0800 2024,0,三十三世纪,f,48
女性更难找工作了,5094897549839202,23,浙江,Tue Oct 29 19:34:57 +0800 2024,0,冰点-小Lynn,f,8
说半天还是原本就有的政策，画大饼而已。,5094930059627861,21,北京,Tue Oct 29 21:44:08 +0800 2024,0,文三岁爱的面瘫猫,f,19
教育成本教育压力一点不提[摊手],5094942136076992,20,陕西,Tue Oct 29 22:32:07 +0800 2024,0,萌神国小米,f,16
我们这边灵活就业，没法买生育津贴，我买了灵活就业都后悔了。[苦涩],5094940152173585,11,四川,Tue Oct 29 22:24:14 +0800 2024,1,梦露的危笑ya,f,33
没一个能够准确落实的。啥子加强，鼓励，这些没用啊。,5094891290103754,23,四川,Tue Oct 29 19:10:05 +0800 2024,1,那年术语,f,25
金钱不到位 任何都是纸上谈兵,5094886073961315,16,江苏,Tue Oct 29 18:49:21 +0800 2024,0,冰泪渐远,f,14
“预防大于治疗”  已经晚了，指望95后，00后生孩子，想啥了,5094881111840942,15,湖北,Tue Oct 29 18:29:38 +0800 2024,0,那个路口的,m,31
哪个公司能做到这些，太少了,5094866163599531,8,山东,Tue Oct 29 17:30:14 +0800 2024,1,章鱼喵zhangyumiao,f,13
