content,_id,like_counts,ip_location,created_at,total_number,user_name,gender
每天八小时工作制，周末强制双休。比补贴强[挖鼻],5095242831496670,16030,来自湖北,Wed Oct 30 18:26:59 +0800 2024,111,·-_-·,m
教育医疗住房，能解决这三件事再让人生吧~,5095082199878025,8088,来自广东,Wed Oct 30 07:48:41 +0800 2024,86,WeLoveManUtd,m
有钱的人生孩子才会幸福 没钱的生孩子只会加倍痛苦,5095246687375135,5213,来自湖北,Wed Oct 30 18:42:18 +0800 2024,17,波猪i,m
鼓励鼓励鼓励，支持支持支持。公司:我同意但我还是不录用,5095246109348044,4311,来自四川,Wed Oct 30 18:40:00 +0800 2024,10,请做有素质的人,m
“法拉利5元代金券”,5095248529197750,3834,来自北京,Wed Oct 30 18:49:37 +0800 2024,4,家有萌宝兔牙熊,m
直面超想休，不敢休，不能休,5095252067095471,2665,来自江苏,Wed Oct 30 19:03:40 +0800 2024,8,E_la_vita,f
年轻人对未来的不确定性，才是关键,5095247486912706,1651,来自陕西,Wed Oct 30 18:45:28 +0800 2024,15,hellation王,m
单休，早九晚六点半，偶尔还要加班，到家七点半，这时间安排，娃儿上下学都没了接送，周末一个人在家[笑cry][笑cry][笑cry],5095247797555582,1283,来自四川,Wed Oct 30 18:46:43 +0800 2024,12,西柚mango--,f
双休先落实再说吧[黑线],5095246310147108,1212,来自福建,Wed Oct 30 18:40:48 +0800 2024,1,Say-chan,f
先落实35后就被职场歧视的问题吧,5095253319877066,966,来自北京,Wed Oct 30 19:08:38 +0800 2024,2,雪神玩偶,m
刚下班累着呢你说啥都不好使[微笑],5095250364204121,898,来自上海,Wed Oct 30 18:56:54 +0800 2024,4,用户173917391739,f
免费住[doge]免费读[doge]就生[doge]马上和对象结婚生娃,5095195257603448,603,来自福建,Wed Oct 30 15:17:56 +0800 2024,11,空手走江湖,m
要承担各种身体损伤，不想生，也不喜欢生。[微笑],5095246727743123,492,来自广东,Wed Oct 30 18:42:27 +0800 2024,2,IKNIWWWWW,f
双职工谁给带孩子，现在育儿嫂价格比上班挣得还贵,5095249726932336,451,来自江苏,Wed Oct 30 18:54:23 +0800 2024,5,MilianWu-从前慢,f
什么时候已婚已育优先聘用我就生[偷乐],5095247185182936,410,来自上海,Wed Oct 30 18:44:16 +0800 2024,20,李小楠家的猫,f
直面了吗？？没有吧，知道问题在哪里，又不敢直面#全力促进房地产市场止跌回稳#,5095126087238060,335,来自广东,Wed Oct 30 10:43:04 +0800 2024,7,l什么时候可以养猫,m
涨工资好吗？,5095250018963551,262,来自浙江,Wed Oct 30 18:55:32 +0800 2024,2,jdbdidbfjfb,f
工作都找不到，自己都养不活,5095254162409839,265,来自陕西,Wed Oct 30 19:12:00 +0800 2024,0,旖旎之海,f
整点实实在在的,5095243290509681,249,来自河北,Wed Oct 30 18:28:47 +0800 2024,0,爱豆跳舞,m
洗洗睡吧，梦里都会有的,5095251762741313,213,来自天津,Wed Oct 30 19:02:27 +0800 2024,0,丢了猫的尾巴_neko,f
那一句口号喊得好，少生优生，幸福一生。,5095262630183845,178,来自福建,Wed Oct 30 19:45:39 +0800 2024,0,端木广山,m
重点其实就一个字：钱[微笑],5095254409874048,165,来自江苏,Wed Oct 30 19:12:59 +0800 2024,6,一棵特立独行的草,f
先解“男生娃”技术难题,5095255706178164,157,来自山东,Wed Oct 30 19:18:08 +0800 2024,0,正规宇宙工作者o,m
从这个措施来看，我感觉大人们还是不急，大人们都不急，尔等急个啥呢？,5095252844611666,145,来自陕西,Wed Oct 30 19:06:46 +0800 2024,0,不知所云糊涂人,m
教育，医疗，工作。。。不改革确实不想生,5095249259007419,151,来自四川,Wed Oct 30 18:52:31 +0800 2024,0,杰克马玩儿企鹅,m
公司听了我跟你姓[馋嘴],5095253411365376,66,来自湖南,Wed Oct 30 19:09:00 +0800 2024,0,一只小耶耶呐,f
8小时候工作制和双休先保障一下，不然白扯,5095263257759296,70,来自湖北,Wed Oct 30 19:48:09 +0800 2024,0,好熟的四季豆,f
不想生的只会越来越多，不存在什么敢不敢生，只是不想过一种风险巨大的生活而已[doge][doge][doge],5095259333461924,62,来自湖北,Wed Oct 30 19:32:33 +0800 2024,0,茜茜love豌豆,f
一周多放一天，我多生一个，一个爸爸带一天娃不过分吧？,5095250129584452,36,来自江苏,Wed Oct 30 18:55:58 +0800 2024,0,颜尽蕉绿,m
真金白银到位就行了,5095248346743791,46,来自湖北,Wed Oct 30 18:48:53 +0800 2024,0,吾生不能没有你,f
先把双休落实了，工资按时发了再说吧[允悲][允悲][允悲],5095255363817424,57,来自四川,Wed Oct 30 19:16:46 +0800 2024,0,湖北小天线,f
总在催生,5095247169716985,35,来自广东,Wed Oct 30 18:44:13 +0800 2024,0,2024花花大熊猫,f
建议先取消调休[微笑],5095266678473690,27,来自河南,Wed Oct 30 20:01:44 +0800 2024,0,爱幼丫黑,f
[摊手]什么时候把加班的企业文化改掉，再谈生孩子的幸福。晚上加完班回去给孩子做饭再辅导作业，简直不敢想，个人时间没有了何谈幸福生娃，都是痛苦,5095260081096279,30,来自山东,Wed Oct 30 19:35:31 +0800 2024,3,易_姑娘,f
一至少开始着手去解决了，肯定没法一步到位，希望高效地完善各方面需求[作揖],5095249187709372,21,来自四川,Wed Oct 30 18:52:14 +0800 2024,0,默默大夜猫,f
怀孕上夜班上到生，产假也只有三个月，真心累,5095258958595643,28,来自河南,Wed Oct 30 19:31:03 +0800 2024,0,大白LOVE阿杜,f
现在让男人能怀孕生娃我都不想要孩子[二哈],5095260176255572,22,来自浙江,Wed Oct 30 19:35:54 +0800 2024,0,戒不掉咖啡同学,f
不痛不痒,5095246940345857,17,来自北京,Wed Oct 30 18:43:18 +0800 2024,0,武大郎小齐,m
怎么生啊，老师家长都没教过[doge],5095267328594545,17,来自上海,Wed Oct 30 20:04:19 +0800 2024,0,南韩一姐裴珠泫,f
这一代的年轻人都捱最贵的物价，生不生得起且不说了，生得动吗[允悲]我现在下班只想安静休息,5095257113101772,24,来自广东,Wed Oct 30 19:23:43 +0800 2024,0,Flynnmak,m
感动自己罢了,5095251437946993,33,来自北京,Wed Oct 30 19:01:10 +0800 2024,0,春有檐下燕丶,m
