content,_id,like_counts,ip_location,created_at,total_number,user_name,gender
口袋没钱，谁也别叫我生孩子,5094841871238665,3673,来自广东,Tue Oct 29 15:53:42 +0800 2024,203,wsxmjdr,f
先帮我买上学区房，再帮我把奶粉钱培训费托管费准备好，把社保不报销的大病商业医疗买好。,5094846328735191,2447,来自山东,Tue Oct 29 16:11:25 +0800 2024,192,jqm0532,f
专家就是不肯睁开眼看看很多人一天12小时都在上班和上下班路上，剩下一点点自己时间还要吃饭清理处理个人事情，就问哪里有时间生孩子带孩子,5094860292622467,2133,来自上海,Tue Oct 29 17:06:54 +0800 2024,65,azure97,f
当初的宣传的好：少生优生幸福一生,5094860131929986,1678,来自福建,Tue Oct 29 17:06:16 +0800 2024,71,端木广山,m
经济条件是基础。[衰],5094847172051327,1056,来自陕西,Tue Oct 29 16:14:46 +0800 2024,23,数字声誉实验室,f
法律好像规定加班要给加班费[doge],5094858173450798,589,来自广东,Tue Oct 29 16:58:29 +0800 2024,15,学好插花脚暴揍沈榴榴,m
连婚都没人结了,5094857813263207,603,来自浙江,Tue Oct 29 16:57:03 +0800 2024,13,霜晨月-Et,f
牛马不够用了[doge],5094866542136073,478,来自甘肃,Tue Oct 29 17:31:44 +0800 2024,16,小狐狸买手套呀,f
幼儿园摇号没有中，一年光学费就4W[裂开]还不包含生活费服装费等,5094850683471178,429,来自山东,Tue Oct 29 16:28:43 +0800 2024,78,七元姓名,m
假大空,5094872774084739,345,来自河南,Tue Oct 29 17:56:30 +0800 2024,3,还能有谁比我的宝宝更可爱,m
被霸凌又不保护[笑cry],5094861120212220,283,来自辽宁,Tue Oct 29 17:10:12 +0800 2024,12,荣耀王者-tao,m
国家让生，企业不让,5094895161184310,221,来自广西,Tue Oct 29 19:25:28 +0800 2024,19,欧_mygod,f
不取缔学区房  绝对不生育,5094853727486282,201,来自江苏,Tue Oct 29 16:40:48 +0800 2024,67,小蛮曹,f
兰博基尼¥5优惠卷？[摊手],5094883813753483,217,来自四川,Tue Oct 29 18:40:21 +0800 2024,4,木木Sabrina,f
养不起啊 后悔生娃,5094855617544761,100,来自河南,Tue Oct 29 16:48:20 +0800 2024,20,VV-DAI,f
朋友今天去面试，28岁了，面试官说2内不能怀孕,5094882550485159,95,来自广东,Tue Oct 29 18:35:21 +0800 2024,8,DIdi人儿,f
以前一个男人的收入可以负担老婆和至少两个孩子的全部支出。现在夫妻二人拼命加班都够呛负担两大一小的支出。,5094911273863207,73,来自天津,Tue Oct 29 20:29:29 +0800 2024,5,J-Doggie69715,m
