content,_id,like_counts,ip_location,created_at,total_number,user_name,gender
图片评论 http://t.cn/A6ncW10g,5094859627037156,390,来自北京,Tue Oct 29 17:04:15 +0800 2024,16,MS培养基_,f
我咋感觉都是扯淡,5094853815308695,129,来自北京,Tue Oct 29 16:41:10 +0800 2024,11,ShowMakerr_,m
别信广告，看疗效,5094860929107609,117,来自菲律宾,Tue Oct 29 17:09:26 +0800 2024,2,竹杖芒鞋轻胜马-Serendipity,m
幼儿园摇号没有中，一年光学费就4W[裂开]还不包含生活费服装费等。。。。而且，我主要也是不想生了孩子以后还得做作业[允悲]，写了十来年作业了，怕了[泪],5094852339435606,86,来自山东,Tue Oct 29 16:35:18 +0800 2024,3,七元姓名,m
我只看数据，有多少钱发过来[吃瓜],5094856546061749,64,来自浙江,Tue Oct 29 16:52:01 +0800 2024,0,郑在输入0818,m
杯水车薪,5094851962208650,43,来自广西,Tue Oct 29 16:33:48 +0800 2024,0,c璀璨冒险人,m
画饼是吧？,5094861604651551,57,来自山东,Tue Oct 29 17:12:06 +0800 2024,0,菠萝吹雪a,m
想空手套白狼🐺🐺🐺🐺,5094860674044057,46,来自云南,Tue Oct 29 17:08:25 +0800 2024,0,姬里姬气aka,f
我们一个普通幼儿园一学期1万4，一个月工资就四五千[允悲],5094861673859954,37,来自安徽,Tue Oct 29 17:12:24 +0800 2024,7,妮妮的日记123,f
没有一个落地措施，全是大饼,5094866440422078,63,来自北京,Tue Oct 29 17:31:20 +0800 2024,0,丶呆瓜era,m
竟说一些大空话,5094869305920708,43,来自浙江,Tue Oct 29 17:42:43 +0800 2024,0,在路上的理想主义者,f
先把五天八小时，双休制度落实了吧,5094871284581379,37,来自广东,Tue Oct 29 17:50:35 +0800 2024,1,Hdjhak,m
估计实现不了,5094858509256289,24,来自山西,Tue Oct 29 16:59:49 +0800 2024,2,一生爱吾笑,m
反正我不敢生,5094858145141033,17,来自北京,Tue Oct 29 16:58:22 +0800 2024,0,卷不了一点_趟,f
鼓励、督促，支持，有啥用？写在劳动法里的每周工作时间和加班补偿都有大把的企业不执行，都是烟雾弹。,5094870027077790,24,来自北京,Tue Oct 29 17:45:35 +0800 2024,0,三十三世纪,f
女性更难找工作了,5094897549839202,23,来自浙江,Tue Oct 29 19:34:57 +0800 2024,0,冰点-小Lynn,f
说半天还是原本就有的政策，画大饼而已。,5094930059627861,21,来自北京,Tue Oct 29 21:44:08 +0800 2024,0,文三岁爱的面瘫猫,f
教育成本教育压力一点不提[摊手],5094942136076992,20,来自陕西,Tue Oct 29 22:32:07 +0800 2024,0,萌神国小米,f
我们这边灵活就业，没法买生育津贴，我买了灵活就业都后悔了。[苦涩],5094940152173585,11,来自四川,Tue Oct 29 22:24:14 +0800 2024,1,梦露的危笑ya,f
没一个能够准确落实的。啥子加强，鼓励，这些没用啊。,5094891290103754,23,来自四川,Tue Oct 29 19:10:05 +0800 2024,1,那年术语,f
金钱不到位 任何都是纸上谈兵,5094886073961315,16,来自江苏,Tue Oct 29 18:49:21 +0800 2024,0,冰泪渐远,f
“预防大于治疗”  已经晚了，指望95后，00后生孩子，想啥了,5094881111840942,15,来自湖北,Tue Oct 29 18:29:38 +0800 2024,0,那个路口的,m
哪个公司能做到这些，太少了,5094866163599531,8,来自山东,Tue Oct 29 17:30:14 +0800 2024,1,章鱼喵zhangyumiao,f
诸位还是单身保平安,5095055947464893,13,来自天津,Wed Oct 30 06:04:21 +0800 2024,0,深爱的彼方,f
提升中考升学率，降低基础教育的难度,5094886606897600,6,来自湖北,Tue Oct 29 18:51:27 +0800 2024,0,有容乃大1951,m
假大空。,5094868632473792,9,来自广东,Tue Oct 29 17:40:03 +0800 2024,0,昊叔Carlos,m
贝因美涨的那么猛，原来是先知先觉呀。[疑问][允悲],5094851411969495,7,来自广东,Tue Oct 29 16:31:37 +0800 2024,1,流星集,m
说的好像很有意义但我不知道意义在哪,5094908195769113,10,来自北京,Tue Oct 29 20:17:15 +0800 2024,0,小风扇转鸭转,f
小恩小惠[二哈],5094867040735177,9,来自安徽,Tue Oct 29 17:33:43 +0800 2024,0,Gentle-刘先森,m
这还不如不发布呢,5094913027346633,7,来自四川,Tue Oct 29 20:36:27 +0800 2024,0,春Xiao,f
[笑cry],5094851894314893,1,来自辽宁,Tue Oct 29 16:33:32 +0800 2024,0,来自星星的糖果oo,f
"So big,So air",5094850166523027,5,来自北京,Tue Oct 29 16:26:40 +0800 2024,2,张憨人,m
什么时候灵活就业也能领生育津贴再说吧,5094904606754259,8,来自安徽,Tue Oct 29 20:02:59 +0800 2024,0,电风扇油面筋v,f
没有强制就是废纸一张,5095060036650360,3,来自上海,Wed Oct 30 06:20:37 +0800 2024,0,薛脑斧的小兔叽,f
体制内要四孩的在担惊受怕，生育支持没办法享受到一点[苦涩],5094988239078203,0,来自广东,Wed Oct 30 01:35:19 +0800 2024,0,独自美丽滴奥黛丽赫本,f
异地试管报销管一下吧[awsl],5094956735139770,2,来自山东,Tue Oct 29 23:30:08 +0800 2024,0,melodysha919,f
没有一个靠谱切实可执行的  弹性工作 只有公务员可以吧[苦涩],5094880127488656,8,来自北京,Tue Oct 29 18:25:43 +0800 2024,0,Maisie麦麦,f
别整那没用的，先把双休落实一下,5094867755601417,1,来自浙江,Tue Oct 29 17:36:34 +0800 2024,0,铁掌阿童木007,f
很多孕妇告诉公司后就被辞退了，违法辞退要给予保障,5094859933222193,3,来自北京,Tue Oct 29 17:05:28 +0800 2024,0,摆渡百人,m
好,5094800537685705,0,来自广东,Tue Oct 29 13:09:28 +0800 2024,0,娇灵_,f
要是幼儿园不用学费。一直到大学不用学费多好啊。奶粉钱也补贴到三岁。,5094954920051244,4,来自广东,Tue Oct 29 23:22:54 +0800 2024,2,马化teng是我老公,f
其实七十年代的很多政策真的是很人性化的，以前很多工作单位都有托儿所幼儿园，子弟小学中学甚至单位技工学校，单位有食堂宿舍区也有食堂，分配住房，产假，哺乳假，有些单位还有一年到三年的长期产假（薪资发放60%）……可惜现在单位都没了，都是打工者,5094926687932849,11,来自山西,Tue Oct 29 21:30:44 +0800 2024,0,用户散散扇扇,f
不太够呢感觉,5094897206169697,1,来自黑龙江,Tue Oct 29 19:33:35 +0800 2024,0,你说什么西内,f
@QYF雨中漫步: 农村小学，学校强制合并，收取延时课后服务费，算不算变相收费？加上餐费，一学期2000左右，国家说要减轻负担，减免学费，学费学杂费减免了，其实不然说减负其实是在增加负担，各种费用加起来总体是，增加了三倍的费用。,5095266537441254,0,来自北京,Wed Oct 30 20:01:10 +0800 2024,0,QYF雨中漫步,m
能实现一样我都要笑醒了,5095241768768471,0,来自湖北,Wed Oct 30 18:22:45 +0800 2024,0,米米25479,f
产假在哪里？,5095196758378786,0,来自河南,Wed Oct 30 15:23:54 +0800 2024,0,永666-,m
没一点实质性的,5095188576604080,0,来自北京,Wed Oct 30 14:51:23 +0800 2024,0,宋儿i,m
别想了，你一个干体力活，做流水线的是没有的，这种福利的，都是体制内大学生才有的福利,5095101053011986,1,来自北京,Wed Oct 30 09:03:36 +0800 2024,0,奇诺之旅765,m
能不能取消孕七个月前上夜班,5095078106499376,0,来自上海,Wed Oct 30 07:32:25 +0800 2024,0,奋斗青年宝姐姐,f
都是给……的福利，一般人哪能享受到了,5094955736895379,0,来自湖南,Tue Oct 29 23:26:10 +0800 2024,0,bingning2424,f
要想富，少生孩子多种树,5094949257480460,3,来自广西,Tue Oct 29 23:00:25 +0800 2024,0,宝刀还没老,m
