content,_id,like_counts,ip_location,created_at,total_number,user_name,gender
生一个孩子奖一套房[笑哈哈],5094762323378218,103,来自陕西,Tue Oct 29 10:37:36 +0800 2024,43,啊森72836,m
不是啊，生了谁带，国家出人免费带吗，放学4点谁接，6点才下班，总说没有用的，不从根本上解决问题,5094780948712607,750,来自北京,Tue Oct 29 11:51:37 +0800 2024,56,TXHhhhui慧,f
先把产检全免了再叫,5094780709374533,494,来自海南,Tue Oct 29 11:50:40 +0800 2024,31,以你为安灬,m
检查费真是贵啊 做个羊穿5600，报销一百多，还没生呢就花了快小一万了,5094779637470008,282,来自江苏,Tue Oct 29 11:46:25 +0800 2024,15,一个_花卷,f
少生优生，幸福一生[打call],5094781568945818,314,来自河北,Tue Oct 29 11:54:05 +0800 2024,4,毛毛虫6114,m
年轻人压力大，生育率下降[鲜花],5094768507357616,177,来自河南,Tue Oct 29 11:02:11 +0800 2024,5,多吉马,f
不割老百姓的钱哪来的生产力,5094780994587688,92,来自广东,Tue Oct 29 11:51:48 +0800 2024,1,丶ilunar,m
少生优生，幸福一生,5094779522385317,96,来自广西,Tue Oct 29 11:45:57 +0800 2024,3,曾小勤666,m
多生少生，快付一生，,5094762615408540,15,来自陕西,Tue Oct 29 10:38:46 +0800 2024,0,啊森72836,m
传递正能量,5094762657088773,5,来自陕西,Tue Oct 29 10:38:56 +0800 2024,0,啊森72836,m
最大的问题是教育公平,5094781355034334,42,来自北京,Tue Oct 29 11:53:14 +0800 2024,6,_小浪欣_,m
以前计划生育，挨家挨户查，现在搞生育补贴，真够笑话的，以前怎么计划的？？,5094780860897186,30,来自安徽,Tue Oct 29 11:51:16 +0800 2024,5,海里抓月亮,m
现在物价谁养得起娃！ 读书学费是说免了，但是伙食费高了，各种辅导班，各种学校让家长买的教科书学校工具，校服，牛奶都得必须学校订，不然就你家孩子眼巴巴看着别的小朋友喝…… 再加上老小一大家子的生活费，水电费，物业管理费，小城市低收入的我真的是觉得压的喘不过气,5094783611573934,35,来自广东,Tue Oct 29 12:02:12 +0800 2024,4,柠Keepitreal,f
都是空头支票,5094763703569781,3,来自陕西,Tue Oct 29 10:43:06 +0800 2024,0,KS啊林666,m
龙国女 嫁外国去了,5094763607098043,2,来自陕西,Tue Oct 29 10:42:43 +0800 2024,0,KS啊林666,m
真的牛逼,5094763377722185,2,来自陕西,Tue Oct 29 10:41:48 +0800 2024,0,KS啊林666,m
生孩子花了1万报销3000.什么鬼,5094780048506899,8,来自湖南,Tue Oct 29 11:48:02 +0800 2024,8,-张晓淼,f
努力,5094913626083330,1,来自广东,Tue Oct 29 20:38:50 +0800 2024,0,二愣子说穿搭,m
真的很难[允悲],5094902951577738,1,来自河南,Tue Oct 29 19:56:25 +0800 2024,0,重生之我是大包鸭,f
生孩子,5094898430644671,1,来自广东,Tue Oct 29 19:38:27 +0800 2024,0,十九天后,m
人口多了全是韭菜，工作都找不到，社会资源全被少数人垄断，太难了！！！,5094783644864923,37,来自四川,Tue Oct 29 12:02:20 +0800 2024,0,夜的第七章Ye-,m
