content,_id,like_counts,ip_location,created_at,total_number,user_name,gender
虽然我自己不会想二胎，但我很开心别人生，哈哈,5083005880636433,157,来自北京,Fri Sep 27 00:01:42 +0800 2024,13,百折不饶的山宁,f
这笔钱其实从不生的人手上来的[二哈]以后各种单身税，丁克税都会以各种方法出来的[doge],5083006813342572,50,来自浙江,Fri Sep 27 00:05:25 +0800 2024,37,床边·好危险,f
我生了。不会冲着800去生，但给我800还是挺开心的[鼓掌]这次生完发现二胎孕产补助有7000，差不多把我自费部分覆盖了，也挺开心的,5083013787158366,75,来自浙江,Fri Sep 27 00:33:07 +0800 2024,9,Jessie是一只猫,f
800够我家一岁半娃一个月尿布+奶粉，家庭收入2w的我们夫妻听到这个消息都觉得很不错，年底二胎希望早日拿上这笔钱[嘻嘻],5083006880712779,61,来自辽宁,Fri Sep 27 00:05:41 +0800 2024,8,easytruam,f
我老家由县级财政拨款，已经实行2年了，不过是每个月400。对农村人而言，一年4800，也还不错了。,5083005427125503,45,来自浙江,Thu Sep 26 23:59:54 +0800 2024,8,宁波夜猫z,m
会不会只给增量发，不给存量发？,5083109932139808,20,来自广东,Fri Sep 27 06:55:10 +0800 2024,3,牛人儿的爹,m
全国有多少县城都负债累累，公务员工资都要拖到月底最后一天发，发八百的可能性不大。以前独生子女费才五块钱[允悲],5083042744369656,24,来自河南,Fri Sep 27 02:28:11 +0800 2024,3,芥末末末啊,f
应该给一胎的也补贴,5083007998758881,18,来自广东,Fri Sep 27 00:10:07 +0800 2024,0,朋友你听过珂拉琪吗,m
实在话。口惠而实不至，是过去几年最大的问题，鸡贼得很！,5083014786713713,13,来自上海,Fri Sep 27 00:37:06 +0800 2024,2,资深矿泉水品鉴师,m
看到有人说我的养老金也靠这些孩子，对，孩子的补贴也靠这些人交税，人口问题是整个经济发展的根基，给博主最后一段点赞，尊重个人保留善意,5083108282205574,5,来自北京,Fri Sep 27 06:48:37 +0800 2024,2,知知与和和,m
好好生，我的养老金要靠这些孩子的[doge],5083020876843143,17,来自陕西,Fri Sep 27 01:01:18 +0800 2024,0,上山打大的老虎,m
博主，你好！我想问下这个是真的吗？我今天刚生二胎？这个在哪里领？怎么领？,5083018291577122,2,来自重庆,Fri Sep 27 00:51:00 +0800 2024,3,林中的采花女,f
说得中肯，的确是不生的也不吃亏，生了的总比没有补贴强,5083095654728847,5,来自浙江,Fri Sep 27 05:58:26 +0800 2024,0,沙发垫子很暖和,f
我们这挂产科自费！社区建档花了我一千七，上班上到生就为了生的时候定额报销，产假的一点最低工资，怎么想都不想再生了。,5083138713455126,0,来自江苏,Fri Sep 27 08:49:32 +0800 2024,2,joycett,f
[打call]觉得把产检+分娩费用全免+把免费疫苗范围增加,5083033880757352,7,来自广东,Fri Sep 27 01:52:58 +0800 2024,0,亦恕201912,m
大家都不生很多行业要失业了，首先就是各地的妇产科医护，我生大宝的时候，医院人多到住走廊，后面有次去探友，同家医院有一半的病房空着关灯了。其次就是幼儿园，收的学生递减，那么老师何去何从啊,5083156747124839,0,来自江苏,Fri Sep 27 10:01:11 +0800 2024,2,早睡晚起没问题,f
每个月800对普通家庭来说，已经蛮不错了,5083169519048115,4,来自浙江,Fri Sep 27 10:51:57 +0800 2024,0,喵个咪0280,f
想当年生了二胎还被罚巨款[揣手][揣手],5083125501920438,0,来自北京,Fri Sep 27 07:57:02 +0800 2024,1,管他南北与西东,f
少哔哔、每个月800连梦都不敢这么做，先把15年二胎的罚款2万退还,5083120955295965,0,来自广东,Fri Sep 27 07:38:58 +0800 2024,1,qing_河,m
出个班级人数控制的政策吧，这个政策一出，执行到位立马就能看到效果，一边教室孩子人满为患，一边师范毕业生找不到工作，一边是乡村中小学撤校，这魔幻情况都是同时存在的。,5083103301207151,3,来自广东,Fri Sep 27 06:28:49 +0800 2024,0,云荒燕子,f
800 每个月的话，力度也很不小了[doge],5083097761054850,3,来自江苏,Fri Sep 27 06:06:48 +0800 2024,0,双子塔JOJO,f
每到这时我就想起杭州哪个公众号的评论区有个人说自己和妻子月收入一万，三个小孩，感谢政策……,5083007415749929,2,来自浙江,Fri Sep 27 00:07:48 +0800 2024,0,安柒77,f
不生的人肯定还是吃亏啊，国家统共就那么多钱，出了这个钱肯定就得从其他民生福利里扣不是,5083121946987014,0,来自天津,Fri Sep 27 07:42:55 +0800 2024,1,王小胖的水儿世界,f
希望二胎能拿上这个钱，毕竟已经没多少年可以拿了。,5083122463147277,1,来自上海,Fri Sep 27 07:44:58 +0800 2024,0,南有双嘉鱼,f
对已经生了二胎的来说，有比没有好[哈哈],5083106492547205,1,来自江苏,Fri Sep 27 06:41:29 +0800 2024,0,江上满沥青,f
聊胜于无，慢慢的改善,5083075949626091,1,来自河北,Fri Sep 27 04:40:08 +0800 2024,0,flying_hat,m
八百块钱不少了[笑cry],5083026371379900,1,来自浙江,Fri Sep 27 01:23:08 +0800 2024,0,TX什么时候破产,f
每个月给800应该有很多人生的,5083187963233364,1,来自北京,Fri Sep 27 12:05:14 +0800 2024,0,雪域满天,f
说的挺好的。客观,5083213715999189,0,来自北京,Fri Sep 27 13:47:34 +0800 2024,0,Ulrica乂,f
嗯嗯,5083180312299753,0,来自河北,Fri Sep 27 11:34:50 +0800 2024,0,善良的善良苏苏,f
为了我的养老金，希望多生,5083174016647691,0,来自广东,Fri Sep 27 11:09:49 +0800 2024,0,人生目标是早日退休的黄女士,f
从无到有，就是进步。,5083161191253679,0,来自安徽,Fri Sep 27 10:18:51 +0800 2024,0,潘一先生,m
二胎占大头的应该不是一线城市吧，800在中小城市力度真的可以的,5083143655130364,1,来自陕西,Fri Sep 27 09:09:10 +0800 2024,0,渔师与厨夫,m
80-90其实都是愿意生的，但是这一系列生育啊，教育啊，房产政策都晚了，前面这批但凡有点进取心的，基本都已经被教育套牢，房产站岗了，诶,5083162950767528,2,来自浙江,Fri Sep 27 10:25:51 +0800 2024,0,清闲煮茶客,f
好的政策大家一定要不吝赞美，这样上面才有动力继续努力💪！赞博主[给力][给力][给力][good][good][good],5083164976612162,1,来自内蒙古,Fri Sep 27 10:33:54 +0800 2024,0,好运嘉茹,f
每月800不少了，有的地方财政真不一定能拿的出来这么多钱,5083162017007145,1,来自河北,Fri Sep 27 10:22:08 +0800 2024,0,小小的甜蜜的负担,f
好的政策大家一定要不吝赞美[鲜花][鲜花][鲜花],5083147975001710,1,来自上海,Fri Sep 27 09:26:20 +0800 2024,0,可遇-8可求,m
希望明年老二出生就能领上[嘻嘻],5083547427410038,0,来自广西,Sat Sep 28 11:53:37 +0800 2024,0,一斤两斤三斤,m
@我的印象笔记,5083357643280690,0,来自湖北,Fri Sep 27 23:19:29 +0800 2024,0,六月天0301,f
很中肯[good],5083346256267808,0,来自天津,Fri Sep 27 22:34:14 +0800 2024,0,cyndi安,f
我相信我们国家未来的生育环境一定会越来越友好，让愿意生育的人减负，因为当你回头看就会发现，整体上来看其实政策和配套一直都是在进步的。,5083305013417454,0,来自广东,Fri Sep 27 19:50:21 +0800 2024,0,joyce00734,m
生孩子要解决的不是八百 是托育制度 学校三四点放学 咋上班啊没老人,5083303390219894,0,来自福建,Fri Sep 27 19:43:54 +0800 2024,0,Tuesday_G,f
