content,_id,like_counts,ip_location,created_at,total_number,user_name,gender
医疗和教育能让老百姓放心就生[允悲][允悲][允悲]要不真生不起[嘻嘻],5094788972677084,13,来自吉林,Tue Oct 29 12:23:30 +0800 2024,6,最爱玉萌萌撒娇,f
都说要三孩国家有补贴，咱也不晓得补贴到哪了[允悲],5094867533566447,3,来自山东,Tue Oct 29 17:35:41 +0800 2024,4,淡水鱼唯i毅,f
城市里还是不愿生，因为生育成本太高，反而是越穷的地方越想生…,5094823666650022,6,来自江苏,Tue Oct 29 14:41:22 +0800 2024,1,静心等花开,f
很简单，生孩子分配房子，就解决了,5094778633717930,10,来自广东,Tue Oct 29 11:42:25 +0800 2024,3,炒鸡解鸭,m
出轨不入刑前绝不掉入陷阱,5094886691571007,1,来自江苏,Tue Oct 29 18:51:48 +0800 2024,3,遗憾未能成长成保护你的hero,m
先解决男女对立再说，一些间谍别有用心挑起男女对立。,5094836520618207,1,来自广东,Tue Oct 29 15:32:27 +0800 2024,1,莫宇浩,m
先保证周末双休、五险一金和性别就业无歧视的落地吧，基本劳动者的保障强调这么多年都有偏差，生育保障落地啥样拭目以待。,5094780470037027,98,来自天津,Tue Oct 29 11:49:43 +0800 2024,1,水妞1208,f
把课外课取消[笑而不语]这样家长也解脱了，孩子也解脱了[笑cry][笑cry][笑cry],5094788764272498,7,来自吉林,Tue Oct 29 12:22:40 +0800 2024,0,最爱玉萌萌撒娇,f
小菌子中午好啊！[送花花]周二愉快,5094788246800353,3,来自吉林,Tue Oct 29 12:20:37 +0800 2024,0,最爱玉萌萌撒娇,f
国家的政策越来越好,5094812472052768,2,来自浙江,Tue Oct 29 13:56:53 +0800 2024,1,猫钉,m
谢谢分享,5094873504154768,2,来自福建,Tue Oct 29 17:59:24 +0800 2024,0,尔尔冬意,m
宝宝天天开心,5094827592517674,2,来自山东,Tue Oct 29 14:56:58 +0800 2024,0,智障妹纸,f
晚上好啊,5094917749085929,1,来自新疆,Tue Oct 29 20:55:13 +0800 2024,0,轶宝仙女,f
晚上好呀,5094905489394248,1,来自河北,Tue Oct 29 20:06:30 +0800 2024,0,摊吻,m
晚上好[送花花],5094902897315471,1,来自浙江,Tue Oct 29 19:56:12 +0800 2024,0,灰白珉祭,f
国家的政策越来越好,5094888913769181,1,来自四川,Tue Oct 29 19:00:38 +0800 2024,0,愿雯其声,f
国家的政策越来越好,5094886837325793,1,来自湖南,Tue Oct 29 18:52:23 +0800 2024,0,偷蝉,m
国家的政策越来越好,5094873191419090,1,来自山东,Tue Oct 29 17:58:09 +0800 2024,0,小兔很秀,f
下午好啊,5094871679373116,1,来自广东,Tue Oct 29 17:52:09 +0800 2024,0,偷麦吖吖吖,m
下午好呀,5094864463332197,1,来自新加坡,Tue Oct 29 17:23:29 +0800 2024,0,月山云海,f
国家的政策越来越好,5094864302119792,1,来自湖南,Tue Oct 29 17:22:50 +0800 2024,0,阳光暖-电量满,f
下午好,5094863496810295,1,来自浙江,Tue Oct 29 17:19:38 +0800 2024,0,小浩收藏家·,m
期待早日落实到位,5094859523758624,1,来自江苏,Tue Oct 29 17:03:51 +0800 2024,0,-如馨-,f
国家的政策越来越好,5094857093939583,1,来自湖南,Tue Oct 29 16:54:11 +0800 2024,0,关于李呀,f
下午好，周二快乐,5094856994852860,1,来自广东,Tue Oct 29 16:53:48 +0800 2024,0,圣白Kk,m
我来看看你在干嘛呢,5094839924819117,1,来自山东,Tue Oct 29 15:45:58 +0800 2024,0,笑点溜溜,f
关注,5094837087111171,1,,Tue Oct 29 15:34:42 +0800 2024,0,红薯视频,m
国家的政策越来越好,5094835844026807,1,来自广东,Tue Oct 29 15:29:45 +0800 2024,0,雪芝Kelsey-,f
国家的政策越来越好,5094835382129794,1,来自安徽,Tue Oct 29 15:27:55 +0800 2024,0,Zanilia_小季神,m
国家的政策越来越好,5094833106716817,1,来自山西,Tue Oct 29 15:18:53 +0800 2024,0,Ding-吧唧一口小晞晞,f
国家的政策越来越好,5094828167660720,1,来自湖南,Tue Oct 29 14:59:15 +0800 2024,0,月亮上的小兔兔吖,f
期待早日落实到位,5094827536681848,1,来自河南,Tue Oct 29 14:56:45 +0800 2024,0,光明会大巫师,m
[打call]下午好啊,5094827268246177,1,来自浙江,Tue Oct 29 14:55:41 +0800 2024,0,黎叔Talk,m
支持博主❤️,5094826796125644,1,来自湖北,Tue Oct 29 14:53:48 +0800 2024,0,夜欣星辰,f
周二愉快哦宝 @憨憨的一朵菌子!,5094821007988016,1,,Tue Oct 29 14:30:48 +0800 2024,0,五莲县融媒体中心,f
下午好啊,5094815209619638,1,来自江西,Tue Oct 29 14:07:45 +0800 2024,0,Vin-回忆,f
国家的政策越来越好,5094813982523633,1,来自河北,Tue Oct 29 14:02:52 +0800 2024,0,芋圆龙龙茶,m
下午好呀,5094800813198467,1,来自山东,Tue Oct 29 13:10:33 +0800 2024,0,狐梨兔兔喵,f
周二愉快哦 @憨憨的一朵菌子!,5094796383225926,1,,Tue Oct 29 12:52:57 +0800 2024,0,五莲县融媒体中心,f
该生则生吧[太开心][太开心],5094787354986459,1,来自山东,Tue Oct 29 12:17:04 +0800 2024,0,江东曾经来过,m
下午好啊,5094800420241640,1,来自内蒙古,Tue Oct 29 13:08:59 +0800 2024,0,奶俊的巡洋舰k,f
