content,_id,like_counts,ip_location,created_at,total_number,user_name,gender
最重要的是要打击以不生少生为主题的自媒体，这玩意太带风向了,5094839152541938,230,来自山东,Tue Oct 29 15:42:53 +0800 2024,33,猛犸读书,m
给予战略重视，拿出当年计划生育的力度，一定能扭转。,5094839676832442,97,来自湖北,Tue Oct 29 15:44:59 +0800 2024,54,慢活的农夫生活,m
其实我觉得未来科技进步，根本不需要这么多劳动力，目前很多人觉得穆斯林和黑人生育率很高，不到200年就会占领全世界，但是有没有一种可能，他们还没有占领全世界的时候就会因为人口太多而产生各种矛盾，战乱，人口盛极而衰,5094839687316603,9,来自广东,Tue Oct 29 15:45:01 +0800 2024,27,暖羊羊的好心情,f
打击宣扬不婚不育的自媒体有必要，可是普通人也会有自己的判断：你愿意自己的孩子一生下来就喝毒奶粉？愿意他吃地沟油、矿物混合油和各种添加剂？愿意他一天十几个小时呆在教室里连课间上厕所的时间都没有，小小年纪都得了抑郁症？愿意他和你一样做牛马做韭菜接着你的班去还房贷？一辈子没有尊严的活着,5094886464554993,17,来自广东,Tue Oct 29 18:50:54 +0800 2024,16,用户7390451422,m
官场！官场腐败，教育！教育腐败，医疗！医疗腐败，食品安全一塌糊涂，连领养老金都分三六九等，问题在于年青人对现在的制度，社会风气感到失望，对未来没有盼头,5094949768400621,19,来自广东,Tue Oct 29 23:02:27 +0800 2024,42,WUKEFIVE,m
多子多福，不变的真理,5094838942564792,33,来自河北,Tue Oct 29 15:42:03 +0800 2024,7,佛献世,m
人工智能和生育天生就是对立的，请问如果人工智能后面越来越发展工作岗位越来越少，后面这些多出来的人要用来干什么？为爱发电么？,5094840578869100,12,来自北京,Tue Oct 29 15:48:34 +0800 2024,13,麻省彦祖,f
三座大山不解决，老百姓生不起。贫富差距越来越大！说经济不好，小区商埔涨价，商家租不起了，房东空着一年多了，小区5，6家都空着大半年一年。何必呢？贫富差距，房东不差钱！另一个学费，公立还好，东莞初中高中私立一学期3万多，初中3.3万，今年一学期涨了3-4千，都涨！最后看病，医疗就不说了。,5095077108777218,6,来自广东,Wed Oct 30 07:28:26 +0800 2024,31,易健jian,m
有兄弟姐妹的70后想生还要被巨额罚款，独生子女的80后，90后觉得一个人长大就挺好，00后自己都养活不起。自食恶果，肉食者生吧[并不简单],5094876260338686,28,来自山东,Tue Oct 29 18:10:21 +0800 2024,3,布丁麻麻的老公,m
要把舆论导向改过来！,5094838691432702,18,来自广东,Tue Oct 29 15:41:04 +0800 2024,1,海生20191022,m
到底是因为自媒体炒作不生，还是因为年轻人负担压力太大不生？如果按博主逻辑，所有医院只要堵住喊疼病人的嘴，所有疾病自然就治好了。,5094976927040573,29,来自江苏,Wed Oct 30 00:50:22 +0800 2024,1,风之子卡尼吉亚007,m
所以打击女权，女性回归家庭，人人有责！,5095256179868683,0,来自重庆,Wed Oct 30 19:20:01 +0800 2024,10,活下来的免疫力非常强的人,m
可是现实中很多人都靠放大阴暗面和极端例子来博取流量！,5094839297510776,10,来自广东,Tue Oct 29 15:43:29 +0800 2024,0,阳光里晒干香芋味回忆,m
这几年明显舆论都在渲染男女对立、不婚不育，就不明白上面为什么会放任不管,5094873902612692,3,来自广东,Tue Oct 29 18:00:58 +0800 2024,5,菊姐姐微博,f
要弘扬中国传统文化！母以子女为贵，妈妈地位尊崇。家族互助兴旺发达。华人犹太人都重视家族传承。,5094895333148896,3,来自广东,Tue Oct 29 19:26:08 +0800 2024,0,股道热肠也,m
主要还是生育成本比较高，地方政府把房价和学区挂钩，为了卖地，孩子内卷，想考个好高中大学，补课费都得几十万，如果不生孩子一个月可以省三四千一个孩子，自己生活完全就没有这些压力了，生不生不是导向的问题，现实才是最好的避孕药,5095090923765833,7,来自辽宁,Wed Oct 30 08:23:20 +0800 2024,3,柏灬贺,m
还得加一条：对微博等信息和社交平台痛加整治，不能完全由资本控制。资本可以享有商业收益权，但不能获得舆论和意识形态控制权。整治的方法多着呢，关键问题是重视不重视、敢不敢担责。,5094841148769998,3,来自广东,Tue Oct 29 15:50:50 +0800 2024,2,喵星总督2022,m
