content,_id,like_counts,ip_location,created_at,total_number,user_name,gender
我特别不理解，当初想生的时候躲起来也要生个二胎三胎的，甚至有的还跑出guo去生，现在国家都给钱了，13000，7000，还一堆抱怨不生～,5094604786895693,30,来自北京,Tue Oct 29 00:11:37 +0800 2024,66,阿滋楠,f
那你再生几个呀，累不死你,5094594855043533,102,来自四川,Mon Oct 28 23:32:08 +0800 2024,2,从头开始到结束,m
什么大学一年4W？贵族学校？如果是公立的一年5K顶天了吧？[黑线],5094722372895920,1,来自福建,Tue Oct 29 07:58:52 +0800 2024,7,若雪T,f
现在生孩子真是好时机，奖励多多，未来可期！,5094583182037210,17,来自福建,Mon Oct 28 22:45:46 +0800 2024,16,偶然不在线,f
7000元真的干不了什么事。奶粉钱都不够呀[允悲],5094588985644197,96,来自江苏,Mon Oct 28 23:08:50 +0800 2024,11,Justin的伙伴,f
不会有人为了区区7000元生孩子吧，跟兰博基尼10元代金券差不多的性质,5094606261980966,94,来自四川,Tue Oct 29 00:17:29 +0800 2024,5,午后的旅行-,m
一个月7000，马上人口大爆炸[doge],5094594651884067,59,来自江苏,Mon Oct 28 23:31:20 +0800 2024,5,灵魂蒸发Season,f
90后很多不敢生孩子，生了没人带，父母被延迟退休，房价高父母只能留在老家，不能过来带娃，女性生完孩子没办法快速回归工作，劳动法落实不到位，女性生娃面临失业。上学的孩子卷的厉害，都在抱怨痛苦[抓狂]，00后吐槽父母没钱别生孩子[裂开]。90后真的不敢生了,5094707147310264,14,来自山东,Tue Oct 29 06:58:22 +0800 2024,0,小居是我的白月光,f
恭喜你领到了满500减3元[开学季],5094784237046169,1,来自广东,Tue Oct 29 12:04:41 +0800 2024,2,夫人你好优雅,m
又在骗穷人生孩子！哈哈，谁差那一二万，差的是60万的养育成本，差的是深圳的公立学校的名额[允悲][允悲],5094726917162228,8,来自广东,Tue Oct 29 08:16:55 +0800 2024,0,ljy620yet,f
奖励7000可以解决两个月了奶粉钱[doge],5094726102941745,2,来自广东,Tue Oct 29 08:13:40 +0800 2024,0,Han_Bear1993,m
生个孩子简直是投资，赚得是红包，亏得是彩礼！ 😂,5094582990146058,14,来自福建,Mon Oct 28 22:45:00 +0800 2024,3,赤羽__燭台切咪辣,f
先落实当年答应的独生子女补贴先吧[吃瓜],5094608604496674,30,来自广西,Tue Oct 29 00:26:47 +0800 2024,6,肠粉两条加个蛋,m
先落实双休再说[doge],5094595577512762,72,来自河南,Mon Oct 28 23:35:01 +0800 2024,0,沐沐暖阳ME,f
晚婚晚育，少生优生。  人口素质要提高，优生优育很重要。  为明天更美好，请少生优生。  优生优育，把握幸福，品味人生。  自觉实行计划生育，提高妇女健康水平。  为了子孙明天的幸福，少生优生是您的责任。,5094618557579716,29,来自四川,Tue Oct 29 01:06:20 +0800 2024,3,从头开始到结束,m
不懂就问：养娃7000块能养到哪个阶段？,5094599728828602,13,来自广西,Mon Oct 28 23:51:31 +0800 2024,3,肚子妹妹,f
这不就等于劳斯莱斯五元优惠劵吗,5094608432006636,19,来自广西,Tue Oct 29 00:26:06 +0800 2024,0,沙雕影后,f
买个表花了6k，累死累活生个小孩才给7k，还是二胎，我有这钱自己消费不香吗,5094639705260355,11,来自江西,Tue Oct 29 02:30:22 +0800 2024,0,锱铢必较的兰博king,m
7000还不够吃吃喝喝,5094587159546658,15,来自湖南,Mon Oct 28 23:01:34 +0800 2024,0,嗜天青颗粒,f
生吧 不然我们养老金靠谁，不能白交半辈子，轮到自己没得发了[挖鼻],5094591212557294,1,来自北京,Mon Oct 28 23:17:41 +0800 2024,1,Launch鸽鸽,m
喜欢生的就大量生，不想生的不生,5094782948610612,1,来自山东,Tue Oct 29 11:59:34 +0800 2024,0,韩琳王,m
生孩子犹如买彩票，奖金多得让我怀疑人生！,5094583042311291,1,来自安徽,Mon Oct 28 22:45:13 +0800 2024,0,浅港墨狸,m
生孩子确实是个大投资，但每一份花费都可能带来无法替代的幸福与回忆，珍惜这个过程！,5094582976512951,0,来自浙江,Mon Oct 28 22:44:57 +0800 2024,0,深海中的森林,m
7000都不够上一个学期的幼儿园,5094709431633565,2,来自广西,Tue Oct 29 07:07:26 +0800 2024,0,南橘北橙橙,f
你们多生点,5094606376536787,3,来自广东,Tue Oct 29 00:17:56 +0800 2024,0,JetaimeCC0302,f
官媒直接评论精选[微笑],5094720185043095,2,来自四川,Tue Oct 29 07:50:10 +0800 2024,0,Arial_he,m
谁愿意生谁生呗，7000块都不够上早教的，我们东北三线城市学龄前女娃的标配都是早教+英语+美术+游泳＋舞蹈，如果我知道她将来只能去拧螺丝的话我宁愿不生她,5096358233249736,0,来自黑龙江,Sat Nov 02 20:19:11 +0800 2024,0,好好吃饭好好睡觉0809,f
就像十万块钱的东西，给你一张十块钱的代金券[挖鼻],5095882016162143,0,来自广东,Fri Nov 01 12:46:51 +0800 2024,0,圆嘟嘟的大橙子,f
一个我都不想生我还生两个[费解],5094889121382948,0,来自湖北,Tue Oct 29 19:01:27 +0800 2024,0,LookMe_Z,m
回复@若雪T:4万肯定加上生活费了，不过4万也算奢侈的了，现在学费普遍都涨了，1万学费一年的专业比比皆是,5094787193768261,0,来自安徽,Tue Oct 29 12:16:26 +0800 2024,0,小小小小小肠,m
7000能干啥,5094754373603304,1,来自江苏,Tue Oct 29 10:06:01 +0800 2024,0,candyshine,f
